#E (eV)                 PP(111)H	            PS(111)H
2.849447700877982e+0    1.722662520000000e-2	5.009538310000000e-2
2.845562857303411e+0    1.848393680000000e-2	5.101781340000000e-2
2.841688592243166e+0    1.980220710000000e-2	5.207296460000000e-2
2.837824869043457e+0    2.132406830000000e-2	5.293352900000000e-2
2.833971631779966e+0    2.210367280000000e-2	5.407122520000000e-2
2.830128844283728e+0    2.394339810000000e-2	5.508726090000000e-2
2.826296464103516e+0    2.591328700000000e-2	5.628051980000000e-2
2.822474449017730e+0    2.732979690000000e-2	5.669688060000000e-2
2.818662757032848e+0    2.985778820000000e-2	5.640068280000000e-2
2.814861346381888e+0    3.260125220000000e-2	5.678378420000000e-2
2.811070175522883e+0    3.605632110000000e-2	5.682064970000000e-2
2.807289203137363e+0    3.991338610000000e-2	5.695621300000000e-2
2.803518388128862e+0    4.362064970000000e-2	5.712825800000000e-2
2.799757689621423e+0    4.682177310000000e-2	5.722847580000000e-2
2.796007066958120e+0    5.038854480000000e-2	5.708414320000000e-2
2.792266479699601e+0    5.617425590000000e-2	5.727339160000000e-2
2.788535893894691e+0    6.059183930000000e-2	5.704832080000000e-2
2.784815256973964e+0    6.891637300000000e-2	5.729236080000000e-2
2.781104535430956e+0    7.549356670000000e-2	5.780652910000000e-2
2.777403689682167e+0    8.171058450000000e-2	5.832849070000000e-2
2.773712680354515e+0    8.782157300000000e-2	5.921619390000000e-2
2.770031468283937e+0    9.340285510000000e-2	6.055586410000000e-2
2.766360014514006e+0    9.872123600000000e-2	6.133336200000000e-2
2.762698280294556e+0    1.097399590000000e-1	6.213837120000000e-2
2.759046227080318e+0    1.163580720000000e-1	6.324949859999999e-2
2.755403816529569e+0    1.220630630000000e-1	6.436348710000001e-2
2.751771010502790e+0    1.341842560000000e-1	6.497712429999999e-2
2.748147771061332e+0    1.513279380000000e-1	6.504701080000000e-2
2.744534060466102e+0    1.648541840000000e-1	6.594277919999999e-2
2.740929847235984e+0    1.649250690000000e-1	6.810294090000001e-2
2.737335081891698e+0    1.743244080000000e-1	6.649402529999999e-2
2.733749733360671e+0    1.972646420000000e-1	6.691394000000001e-2
2.730173764689013e+0    2.131088820000000e-1	6.916212290000000e-2
2.726607139115935e+0    2.267545610000000e-1	7.288690660000000e-2
2.723049820072493e+0    2.548748850000000e-1	7.276568560000000e-2
2.719501771180333e+0    2.747251990000000e-1	7.357772440000000e-2
2.715962956250456e+0    2.903320790000000e-1	7.535989580000000e-2
2.712433339281985e+0    2.989452480000000e-1	7.683467120000000e-2
2.708912884460942e+0    3.207751810000000e-1	7.467170800000000e-2
2.705401556159044e+0    3.507524730000000e-1	7.549580190000000e-2
